time,cams,denms,alerted,suppressed,rsu_relays,avg_ms,risk,min_gap
16.10061264038086,224,1,4,1,4,8.88450817899097,30,0.4726731373352777
16.620702266693115,238,1,4,1,4,8.88450817899097,30,8.845514683881902
17.11402416229248,238,1,4,1,4,8.88450817899097,30,18.657584323941137
17.709792137145996,252,1,4,1,4,8.88450817899097,30,31.92704303859864
18.23613452911377,252,1,4,1,4,8.88450817899097,30,44.758340484362634
18.721331119537354,266,1,4,1,4,8.88450817899097,30,57.52823892037486
19.262761116027832,266,1,4,1,4,8.88450817899097,30,72.95073122133363
19.778270959854126,280,1,4,1,4,8.88450817899097,30,87.76964311018219
20.26127028465271,280,1,4,1,4,8.88450817899097,0,96.54233523646235
20.763508558273315,294,1,4,1,4,8.88450817899097,0,88.59344080463507
21.288813829421997,294,1,4,1,4,8.88450817899097,0,80.27946641407016
21.812540531158447,308,1,4,1,4,8.88450817899097,0,71.9904759450219
22.306479692459106,308,1,4,1,4,8.88450817899097,30,64.17293105617864
22.798340320587158,322,1,4,1,4,8.88450817899097,60,56.38828298470253
23.34436798095703,322,1,4,1,4,8.88450817899097,60,47.74633660763993
23.91368794441223,336,1,4,1,4,8.88450817899097,60,38.73574437456773
24.42887234687805,336,1,4,1,4,8.88450817899097,60,30.58195235349558
24.97533917427063,350,1,4,1,4,8.88450817899097,60,18.476257693489515
25.508073091506958,350,1,4,1,4,8.88450817899097,60,2.2381973655992624
26.03319811820984,364,1,4,1,4,8.88450817899097,60,5.190386516342187
26.52046036720276,364,2,2,2,5,10.608897521247302,30,6.0033624433717705
27.260828733444214,378,2,2,2,5,10.608897521247302,60,5.046053677413511
27.76298475265503,392,2,2,2,5,10.608897521247302,60,3.388114817337737
28.369246244430542,392,2,2,2,5,10.608897521247302,60,0.08375491634888022
28.92641043663025,406,2,2,2,5,10.608897521247302,30,4.516187536755751
29.449967622756958,406,2,2,2,5,10.608897521247302,30,9.7777133832642
29.950650215148926,420,2,2,2,5,10.608897521247302,60,15.812091577256979
30.457833766937256,420,2,2,2,5,10.608897521247302,60,22.95376192299318
30.954236268997192,434,2,2,2,5,10.608897521247302,60,19.839770706388663
31.514228582382202,434,2,2,2,5,10.608897521247302,30,15.510763527126983
32.039538860321045,448,2,2,2,5,10.608897521247302,30,11.449864993018764
32.529890298843384,448,2,2,2,5,10.608897521247302,60,7.659214930532471
33.01897931098938,462,2,2,2,5,10.608897521247302,60,3.878324024941776
33.527846574783325,462,3,4,3,9,12.609528313064077,30,9.839179058673835
34.26953458786011,476,3,4,3,9,12.609528313064077,30,18.527288985897485
34.842182636260986,490,3,4,3,9,12.609528313064077,30,25.235270113269507
