time,id,position,speed,lane,type,in_accident,emergency_braking,alert_received,msgs_forwarded,msgs_suppressed
1.7632341384887695,V17,144.58327219942527,125.19310799287692,1,car,False,False,False,0,0
1.7632341384887695,V18,171.61535300371372,136.11704035350962,2,motorcycle,False,False,False,0,0
1.7632341384887695,V19,183.7924459208797,92.93251736263633,1,motorcycle,False,False,False,0,0
1.7632341384887695,V20,202.31648893226802,99.59720165539255,2,car,False,False,False,0,0
1.7632341384887695,V21,254.10923836430464,133.76603948101783,1,motorcycle,False,False,False,0,0
1.7632341384887695,V22,252.9251353566332,84.72733911845718,2,motorcycle,False,False,False,0,0
1.7632341384887695,V23,285.9988089746395,80.14046182503475,1,car,False,False,False,0,0
1.7632341384887695,V24,312.4946046429573,97.24573127106044,2,car,False,False,False,0,0
1.7632341384887695,V25,354.10220560461585,109.33961057176896,1,truck,False,False,False,0,0
1.7632341384887695,V26,364.34514488739853,102.74622093581021,2,truck,False,False,False,0,0
1.7632341384887695,V27,408.8926917732708,120.24137110088355,1,car,False,False,False,0,0
1.7632341384887695,V28,398.6257582654952,99.27934466253963,2,car,False,False,False,0,0
2.589381694793701,V15,111.32283812036565,85.25673046858574,1,motorcycle,False,False,True,1,0
2.589381694793701,V16,125.8529231162878,92.81918195752998,2,truck,False,False,True,0,1
2.589381694793701,V17,173.31326670901822,125.19310799287692,1,car,False,False,True,0,1
2.589381694793701,V18,202.85223085357808,136.11704035350962,2,motorcycle,False,False,True,0,1
2.589381694793701,V19,205.11910484321515,92.93251736263633,1,motorcycle,False,False,True,0,1
2.589381694793701,V20,225.1725958107158,99.59720165539255,2,car,False,False,True,0,1
2.589381694793701,V21,268.7426155011065,63.76603948101783,1,motorcycle,False,True,False,0,0
2.589381694793701,V22,272.36882540244784,84.72733911845718,2,motorcycle,False,False,True,0,1
2.589381694793701,V23,304.38987750183423,80.14046182503475,1,car,False,False,True,0,1
2.589381694793701,V24,334.81108332369973,97.24573127106044,2,car,False,False,True,0,1
2.589381694793701,V25,379.1940534049491,109.33961057176896,1,truck,False,False,True,0,1
2.589381694793701,V26,387.9239058167558,102.74622093581021,2,truck,False,False,True,0,1
2.589381694793701,V27,436.48633480153455,120.24137110088355,1,car,False,False,True,1,0
2.589381694793701,V28,421.40892159452636,99.27934466253963,2,car,False,False,True,0,1
4.256962537765503,V15,150.81519658253896,85.25673046858574,1,motorcycle,False,False,True,1,0
4.256962537765503,V16,171.6291627876596,98.82247299222847,2,truck,False,False,True,0,1
4.256962537765503,V17,231.30483019819087,125.19310799287692,1,car,False,False,True,0,1
4.256962537765503,V18,265.9039444356704,136.11704035350962,2,motorcycle,False,False,True,0,1
4.256962537765503,V19,248.16701752184758,92.93251736263633,1,motorcycle,False,False,True,0,1
4.256962537765503,V20,271.3077028924191,99.59720165539255,2,car,False,False,True,0,1
4.256962537765503,V21,298.2801226874201,63.76603948101783,1,motorcycle,False,True,False,0,0
4.256962537765503,V22,311.61596084409075,84.72733911845718,2,motorcycle,False,False,True,0,1
4.256962537765503,V23,341.51229385915116,80.14046182503475,1,car,False,False,True,0,1
4.256962537765503,V24,379.8569495815898,97.24573127106044,2,car,False,False,True,0,1
4.256962537765503,V25,429.84200895147103,109.33961057176896,1,truck,False,False,True,0,1
4.256962537765503,V26,435.51769185017395,102.74622093581021,2,truck,False,False,True,0,1
4.256962537765503,V27,492.18417007389473,120.24137110088355,1,car,False,False,True,1,0
4.256962537765503,V28,467.39679194509466,99.27934466253963,2,car,False,False,True,0,1
5.219493627548218,V15,173.610267051772,85.25673046858574,1,motorcycle,False,False,True,1,0
5.219493627548218,V16,198.36613750384612,100,2,truck,False,False,True,0,1
5.219493627548218,V17,264.77767982865447,125.19310799287692,1,car,False,False,True,0,1
5.219493627548218,V18,302.29752309940966,136.11704035350962,2,motorcycle,False,False,True,0,1
5.219493627548218,V19,273.0143611922113,92.93251736263633,1,motorcycle,False,False,True,0,1
